car_price_in_rupees,kms_driven,fuel_type,city,company,model,age,price_per_km,price_per_year,km_per_year
225000.0,76614,Petrol,Pune,Maruti Suzuki,Alto K10 VXi,14,2.93676173073158,15000.0,5107.6
1998999.9999999998,32345,Diesel,Kolkata,Audi,Q3 35 TDI quattro Premium Plus,7,61.80053175044827,249874.99999999997,4043.125
745000.0,49908,Diesel,Mumbai,Maruti Suzuki,Ciaz Delta 1.3 Diesel,7,14.927167444749443,93125.0,6238.5
465000.00000000006,27700,Petrol,Thane,Volkswagen,Polo Comfortline 1.2L (P),10,16.786397602974624,42272.72727272728,2518.181818181818
180000.0,49000,Petrol,Thane,Maruti Suzuki,Wagon R LXi Minor,16,3.67339442052203,10588.235294117647,2882.3529411764707
453000.0,12104,Petrol,Kolkata,Maruti Suzuki,Ignis Delta 1.2 MT,7,37.42255266418835,56625.0,1513.0
534000.0,28646,Petrol,Pune,Hyundai,Xcent SX 1.2,9,18.64069536077076,53400.0,2864.6
204999.99999999997,35965,Petrol,Kolkata,Maruti Suzuki,Alto 800 Lxi,11,5.699827614969693,17083.333333333332,2997.0833333333335
1550000.0,64000,Diesel,Hyderabad,Mercedes-Benz,E-Class E350 CDI BlueEfficiency,15,24.21837158794394,96875.0,4000.0
735000.0,5288,Petrol,Thane,Maruti Suzuki,Baleno Zeta 1.2,5,138.9676687464549,122500.0,881.3333333333334
225000.0,68000,Petrol + 1,Thiruvallur,Maruti Suzuki,Estilo VXi ABS BS-IV,14,3.3087748709577802,15000.0,4533.333333333333
