car_price,kilometers_driven,fuel_type,city,Company,Model,Age
815000.0,55000.0,Diesel,Thane,Maruti Suzuki,Vitara Brezza VDi (O) [2016-2018],8
814000.0,96710.0,Diesel,Pune,Volkswagen,Vento Highline Diesel AT [2015-2016],8
813000.0000000001,82559.0,Diesel,Chennai,Maruti Suzuki,Vitara Brezza ZDi,7
813000.0000000001,27433.0,Petrol,Kolkata,Hyundai,Creta SX Plus 1.6 Petrol,9
811999.9999999999,61867.0,Petrol,Delhi,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 [2018-2020],6
811000.0,8652.0,Petrol,Delhi,Honda,Jazz VX CVT Petrol,6
811000.0,72973.0,Petrol,Kolkata,Honda,City ZX CVT Petrol [2017-2019],8
811000.0,87527.0,Diesel,Mumbai,Mahindra,XUV500 W8,10
810000.0,11444.0,Alternative Fuel,Delhi,Tata,Tiago XZ Plus CNG,3
808000.0,5870.0,Petrol,Kolkata,Honda,Jazz ZX,4
803999.9999999999,14839.0,Petrol,Pune,Toyota,Yaris G CVT [2018-2020],7
801000.0,33747.0,Diesel,Delhi,Maruti Suzuki,Vitara Brezza VDi,6
801000.0,24737.0,Petrol,Delhi,Hyundai,Elite i20 Asta 1.2 (O) [2019-2020],6
800000.0,100000.0,Diesel,Hyderabad,Honda,Jazz VX Diesel,7
800000.0,60161.0,Diesel,Thane,Maruti Suzuki,Swift ZDi AMT,6
800000.0,75000.0,Diesel,Ahmedabad,BMW,X1 sDrive20d,14
7898999.999999999,31059.0,Petrol,Kolkata,Land Rover,Range Rover Velar 2.0 R-Dynamic S Petrol 250 [2017-2020],5
7700000.0,39800.0,Petrol,Thane,Land Rover,Range Rover Velar 2.0 R-Dynamic Petrol 250,6
7700000.0,5600.0,Petrol,Thane,Land Rover,Range Rover Evoque SE R-Dynamic Petrol,4
7700000.0,5600.0,Petrol,Thane,Land Rover,Range Rover Evoque SE R-Dynamic Petrol,4
7400000.0,11000.0,Diesel,Delhi,Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],3
7200000.0,20000.0,Petrol,Bangalore,Audi,A6 2.0 TFSi Technology Pack,4
7000000.0,152000.0,Diesel,Pune,Toyota,Land Cruiser LC 200 VX,14
799000.0,21303.0,Petrol,Bangalore,Hyundai,Elite i20 Asta 1.2,7
799000.0,63767.0,Diesel,Bangalore,Ford,EcoSport Titanium 1.5L TDCi,9
799000.0,56861.0,Petrol,Bangalore,Honda,City SV,9
799000.0,63000.0,Diesel,Delhi,Skoda,Octavia Elegance 2.0 TDI AT,11
799000.0,94197.0,Diesel,Thane,Honda,BR-V VX Diesel,8
799000.0,14886.0,Petrol,Mumbai,Maruti Suzuki,Ciaz Zeta Hybrid 1.5 [2018-2020],7
799000.0,59597.0,Petrol,Bangalore,Maruti Suzuki,Dzire ZXi Plus AMT,7
795000.0,33372.0,Petrol,Bangalore,Maruti Suzuki,Dzire ZXi,5
795000.0,82000.0,Diesel,Hyderabad,Renault,Duster 110 PS RXL 4X2 AMT [2016-2017],7
