price_per_year,price_segment,car_price_in_rupees
166000.00000000003,High,830000.0000000001
128624.99999999999,Very High,1028999.9999999999
23500.0,Very Low,282000.0
75333.33333333333,Low,451999.99999999994
113750.0,High,910000.0
287500.0,Very High,1150000.0
100571.42857142857,Medium,704000.0
29250.0,Very Low,351000.0
137500.0,Very High,1650000.0
85625.0,Medium,685000.0
225500.0,Very High,1353000.0
52272.72727272727,Medium,575000.0
90200.0,Low,451000.0
16562.5,Very Low,265000.0
36363.63636363636,Very Low,400000.0
67857.14285714286,High,950000.0
73529.41176470589,Very High,1250000.0
37555.555555555555,Very Low,338000.0
76333.33333333333,Medium,687000.0
81571.42857142857,Medium,571000.0
58636.36363636364,Medium,645000.0
165000.0,High,825000.0
212500.0,Very High,1275000.0
215200.0,Very High,1076000.0
37600.0,Very Low,376000.0
79888.88888888889,Medium,719000.0
42500.0,Very Low,340000.0
102777.77777777778,High,925000.0
77857.14285714286,Low,545000.0
115625.0,High,925000.0
58636.36363636364,Medium,645000.0
20600.0,Very Low,309000.0
237374.99999999997,Very High,1898999.9999999998
87500.0,Medium,700000.0
35384.61538461538,Low,459999.99999999994
99857.14285714286,Medium,699000.0
228000.0,Very High,1140000.0
214250.0,High,857000.0
119111.11111111111,Very High,1072000.0
50000.0,Medium,650000.0
253874.99999999997,Very High,2030999.9999999998
134999.99999999997,High,944999.9999999999
74375.0,Medium,595000.0
87142.85714285714,Medium,610000.0
98333.33333333333,High,885000.0
80125.0,Medium,641000.0
98625.0,High,789000.0
47181.818181818184,Low,519000.00000000006
87777.77777777778,High,790000.0
54333.33333333333,Low,488999.99999999994
16076.923076923076,Very Low,209000.0
195599.99999999997,High,977999.9999999999
81428.57142857143,Medium,570000.0
52083.333333333336,Medium,625000.0
54454.545454545456,Medium,599000.0
34615.38461538462,Low,450000.0
189285.7142857143,Very High,1325000.0
175000.0,Very High,1050000.0
30692.30769230769,Very Low,399000.0
51909.09090909091,Medium,571000.0
29083.333333333332,Very Low,349000.0
29500.0,Very Low,295000.0
46100.00000000001,Low,461000.00000000006
69000.0,Medium,690000.0
170000.0,Very High,1190000.0
47857.142857142855,Very Low,335000.0
64000.0,Medium,640000.0
88000.00000000001,High,880000.0000000001
52777.77777777778,Low,475000.0
44181.818181818184,Low,486000.00000000006
38384.61538461538,Low,499000.0
52083.333333333336,Medium,625000.0
57272.72727272727,Medium,630000.0
49583.333333333336,Medium,595000.0
97375.0,High,779000.0
115857.14285714286,High,811000.0
38888.88888888889,Very Low,350000.0
56250.0,Low,450000.0
97375.0,High,779000.0
98875.0,High,791000.0
23000.0,Very Low,345000.0
143666.66666666666,High,861999.9999999999
85357.14285714286,Very High,1195000.0
77857.14285714286,Low,545000.0
51666.66666666667,Low,465000.00000000006
63875.00000000001,Low,511000.00000000006
35909.09090909091,Very Low,395000.0
130624.99999999999,Very High,1044999.9999999999
141428.57142857142,High,990000.0
90833.33333333333,Low,545000.0
94875.0,High,759000.0
40125.0,Very Low,321000.0
225000.0,Very High,1800000.0
93125.0,High,745000.0
24375.0,Very Low,390000.0
287500.0,Very High,1150000.0
32000.0,Very Low,320000.0
75000.0,Medium,675000.0
24454.545454545456,Very Low,269000.0
158000.0,High,790000.0
71555.55555555556,Medium,644000.0
92500.0,Low,555000.0
138461.53846153847,Very High,1800000.0
16714.285714285714,Very Low,234000.0
191250.0,Very High,1530000.0
20615.384615384617,Very Low,268000.0
81000.0,Medium,648000.0
43888.88888888889,Very Low,395000.0
318750.0,Very High,1275000.0
84375.0,Medium,675000.0
32083.333333333332,Very Low,385000.0
68000.0,Low,544000.0
128125.0,Very High,1025000.0
59333.333333333336,Low,534000.0
102272.72727272728,Very High,1125000.0
94375.0,High,755000.0
21666.666666666668,Very Low,325000.0
114125.00000000001,High,913000.0000000001
14666.666666666668,Very Low,220000.00000000003
315833.3333333333,Very High,1895000.0
56700.0,Medium,567000.0
71125.0,Medium,569000.0
69545.45454545454,High,765000.0
42583.333333333336,Low,511000.00000000006
153636.36363636362,Very High,1689999.9999999998
79500.0,High,795000.0
55833.333333333336,Medium,670000.0
131500.0,High,789000.0
78125.0,Medium,625000.0
260714.2857142857,Very High,1825000.0
141428.57142857142,High,990000.0
92500.0,Low,555000.0
167857.14285714287,Very High,1175000.0
53636.36363636364,Medium,590000.0
93750.0,High,750000.0
31000.0,Very Low,310000.0
61250.00000000001,Low,490000.00000000006
122249.99999999999,Very High,1955999.9999999998
144571.42857142855,Very High,1011999.9999999999
187200.0,High,936000.0
24375.0,Very Low,390000.0
